,n,avg_real,avg_cpu,med_cost,matrix,mutation_chance
0,15,39442292.0,39375000.0,3.6364464961708185,matrices/15_random_adj_mat_1.txt,0.05
0,15,38864516.0,38750000.0,3.828126579746981,matrices/15_random_adj_mat_2.txt,0.05
0,15,39008956.0,38750000.0,3.5796336219668423,matrices/15_random_adj_mat_3.txt,0.05
0,15,38870796.0,38750000.0,3.5456268247884806,matrices/15_random_adj_mat_4.txt,0.05
0,15,39378888.0,39375000.0,3.335345295304268,matrices/15_random_adj_mat_5.txt,0.05
0,15,38855468.0,38125000.0,3.2358494577048447,matrices/15_random_adj_mat_6.txt,0.05
0,15,39449860.0,39375000.0,3.3606264216519306,matrices/15_random_adj_mat_7.txt,0.05
0,15,38926360.0,39375000.0,3.395963941377694,matrices/15_random_adj_mat_8.txt,0.05
0,15,39006260.0,38750000.0,3.806414480185752,matrices/15_random_adj_mat_9.txt,0.05
0,20,64963456.0,65000000.0,4.671139768691781,matrices/20_random_adj_mat_0.txt,0.05
0,20,65117104.0,63750000.0,5.842500627111748,matrices/20_random_adj_mat_1.txt,0.05
0,20,65293904.0,65000000.0,5.419375407763001,matrices/20_random_adj_mat_2.txt,0.05
0,20,66527700.0,66250000.0,5.382402479927366,matrices/20_random_adj_mat_3.txt,0.05
0,20,65313656.0,65000000.0,5.007360222428331,matrices/20_random_adj_mat_4.txt,0.05
0,20,65005300.0,65000000.0,4.575021391823806,matrices/20_random_adj_mat_5.txt,0.05
0,20,65689700.0,65000000.0,5.181768394104104,matrices/20_random_adj_mat_6.txt,0.05
0,20,66120584.0,65000000.0,4.479588304112394,matrices/20_random_adj_mat_7.txt,0.05
0,20,65080912.0,65000000.0,5.998053964242926,matrices/20_random_adj_mat_8.txt,0.05
0,20,65428412.0,65000000.0,5.051020920002516,matrices/20_random_adj_mat_9.txt,0.05
0,25,100440656.0,100625000.0,5.856427149832533,matrices/25_random_adj_mat_0.txt,0.05
0,25,99441680.0,99375000.0,6.763116590428106,matrices/25_random_adj_mat_1.txt,0.05
0,25,99807580.0,100000000.0,6.095031435063654,matrices/25_random_adj_mat_2.txt,0.05
0,25,99263724.0,99375000.0,6.3958604211087735,matrices/25_random_adj_mat_3.txt,0.05
0,25,101342008.0,101250000.0,6.386416928685796,matrices/25_random_adj_mat_4.txt,0.05
0,25,99780896.0,100000000.0,7.200980864882298,matrices/25_random_adj_mat_5.txt,0.05
0,25,99687388.0,100000000.0,5.939259324154491,matrices/25_random_adj_mat_6.txt,0.05
0,25,100259360.0,100000000.0,7.039708502660611,matrices/25_random_adj_mat_7.txt,0.05
0,25,100820088.0,101250000.0,6.876396513233111,matrices/25_random_adj_mat_8.txt,0.05
0,25,99783388.0,98750000.0,6.093791016447014,matrices/25_random_adj_mat_9.txt,0.05
0,30,143625260.0,143125000.0,8.929098609544198,matrices/30_random_adj_mat_0.txt,0.05
0,30,144600128.0,145000000.0,8.283161766619656,matrices/30_random_adj_mat_1.txt,0.05
0,30,143573716.0,142500000.0,9.065550864934792,matrices/30_random_adj_mat_2.txt,0.05
0,30,144632452.0,144375000.0,9.23460443583977,matrices/30_random_adj_mat_3.txt,0.05
0,30,143555100.0,143750000.0,8.680264893240526,matrices/30_random_adj_mat_4.txt,0.05
0,30,143532936.0,143125000.0,9.485856160114542,matrices/30_random_adj_mat_5.txt,0.05
0,30,143996232.0,143750000.0,8.256335759715551,matrices/30_random_adj_mat_6.txt,0.05
0,30,143846772.0,143125000.0,8.689829358071036,matrices/30_random_adj_mat_7.txt,0.05
0,30,143907300.0,143750000.0,8.913360093498717,matrices/30_random_adj_mat_8.txt,0.05
0,30,144060088.0,142500000.0,8.191645133133935,matrices/30_random_adj_mat_9.txt,0.05
0,30,143618904.0,143125000.0,8.949975885619002,matrices/30_random_adj_mat_0.txt,0.05
0,30,143215400.0,143125000.0,8.530396603984036,matrices/30_random_adj_mat_1.txt,0.05
0,30,142589388.0,142500000.0,8.833629391263727,matrices/30_random_adj_mat_2.txt,0.05
0,30,143701400.0,142500000.0,9.046678413003315,matrices/30_random_adj_mat_3.txt,0.05
0,30,144614584.0,143750000.0,8.833158455698324,matrices/30_random_adj_mat_4.txt,0.05
0,30,143568740.0,143750000.0,9.459474464021271,matrices/30_random_adj_mat_5.txt,0.05
0,30,144068764.0,143750000.0,8.350834779927547,matrices/30_random_adj_mat_6.txt,0.05
0,30,143133200.0,143125000.0,8.783896909138193,matrices/30_random_adj_mat_7.txt,0.05
0,30,143442572.0,143125000.0,8.957710122176547,matrices/30_random_adj_mat_8.txt,0.05
0,30,143812772.0,143125000.0,8.069939300782178,matrices/30_random_adj_mat_9.txt,0.05
0,40,262402804.0,261875000.0,13.869521632894068,matrices/40_random_adj_mat_0.txt,0.05
0,40,261464564.0,260625000.0,12.860467074426031,matrices/40_random_adj_mat_1.txt,0.05
0,40,262110200.0,260625000.0,13.226248084014546,matrices/40_random_adj_mat_2.txt,0.05
0,40,261979068.0,261875000.0,13.201662065397265,matrices/40_random_adj_mat_3.txt,0.05
0,40,264311588.0,263750000.0,12.482282556963503,matrices/40_random_adj_mat_4.txt,0.05
0,40,262844592.0,261250000.0,13.536462643929168,matrices/40_random_adj_mat_5.txt,0.05
0,40,262312136.0,261875000.0,11.71323319893754,matrices/40_random_adj_mat_6.txt,0.05
0,40,261842300.0,260625000.0,12.831667741544907,matrices/40_random_adj_mat_7.txt,0.05
0,40,263298932.0,262500000.0,12.915520984894906,matrices/40_random_adj_mat_8.txt,0.05
0,40,263494168.0,262500000.0,14.341129623312879,matrices/40_random_adj_mat_9.txt,0.05
0,50,428810640.0,427500000.0,18.338604383882952,matrices/50_random_adj_mat_0.txt,0.05
